player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Kurt Zouma,31,Everton,30, D(CR)  ,29(3),2613,2,0.2,45.1,83.6,0,3.2,0,6.78,2,3,1,0.6,3.1,0,0.2,0.5,0.1,0.4,0.5,1,1.7,0.6,0.6,3.8,0.2,0.4,0
Zanka,166,Huddersfield,34, D(C)  ,24,2148,1,0.3,48.9,82.1,0,2.9,0,6.77,3,6,0,0.3,1.5,1,0.1,0.6,0,0.3,0.3,2,2.9,1.4,0.5,3.4,0.8,0.6,0
Joe Bennett,188,Cardiff,35," D(CL),M(L)  ",30,2641,1,0.5,23.1,71.8,0.4,1.4,0,6.77,0,5,0,0.3,1.2,0,0.8,1.2,0,0.4,0.3,1.7,2,0.7,0.1,2.8,0.5,0.3,0
Ryan Bennett,161,Wolves,35, D(C)  ,34,3060,0,0.3,39.6,79.6,0,2,0,6.77,1,12,0,0.4,3.6,0,0.1,0.3,0,0,0.1,1.7,1.3,1.1,0.2,3.6,0.5,0.6,0
Nemanja Matic,32,Man Utd,36, DMC  ,28,2441,0,0.5,65.6,86.9,0.1,3.9,0,6.76,1,6,1,0.4,2,0,0.6,0.7,0,1.4,0.9,1.8,1.1,1,0,1.9,1,0.6,0
Oriol Romeu,18,Southampton,33, DMC  ,25(6),2142,0,0.3,35.5,79.3,0,1.8,0,6.76,1,11,0,0.3,1.5,1,0.5,0.5,0,0.5,0.6,2.6,1.7,1.5,0.1,1.2,1.5,0.5,0
Abdoulaye Doucouré,27,Watford,32, M(C)  ,34(1),3062,6,1.1,55.4,83.5,0.1,1.7,0.1,6.76,5,7,0,1.5,1.2,0,0.9,0.4,0.1,1.2,1.7,2,1,1,0,1.5,1.1,0.2,1
Ashley Barnes,184,Burnley,35," AM(CL),FW  ",26(11),2388,2,0.6,14,59.1,0,0.4,0.1,6.75,12,8,0,1.8,3.6,2,0.2,1.8,0.6,1.1,2.3,0.8,0.1,1.5,0,0.6,0.6,0.2,1
Moussa Sissoko,30,Tottenham,35, M(CR)  ,27(2),2337,3,0.9,46.5,86.7,0.1,1.4,0,6.75,0,2,0,0.5,0.8,0,1.2,0.7,0.1,1,1.4,1.2,0.6,0.8,0,0.7,0.5,0.1,0
Charlie Taylor,184,Burnley,31," D(CL),M(L)  ",35(3),3240,1,0.3,30.9,72.5,0.6,2.2,0,6.75,0,2,0,0.2,1.9,0,1.1,1.3,0,0.4,1,1.4,1.1,0.4,0.3,2.2,0.7,0.9,0
Jóhann Gudmundsson,184,Burnley,34, M(CLR)  ,19(10),1749,6,1.3,16.9,72.5,1.3,0.6,0,6.74,3,2,0,1.1,1.1,2,0.6,0.8,0.1,1,1.4,0.9,1.1,0.3,0,1.1,0.6,0.1,0
Pablo Zabaleta,29,West Ham,40," D(R),DMC,M(R)  ",23(3),2092,1,0.3,33.1,76.7,0.3,1.4,0,6.74,0,4,0,0.3,1.8,0,0.5,1.2,0,0.5,0.7,1.8,1.8,0.7,0.3,3.3,1,0.6,0
Naby Keïta,26,Liverpool,30, M(C)  ,16(9),1394,1,0.4,40.2,88.5,0,0.6,0.1,6.74,2,0,0,1.1,0.4,0,1,0.6,0,1.2,1.4,1.5,0.5,1,0,0.5,1.1,0.2,0
Angelo Ogbonna,29,West Ham,36, D(C)  ,20(4),1871,1,0.2,33.1,83.6,0,1.8,0,6.74,1,2,0,0.6,3.2,0,0,0.3,0,0.2,0.2,1.3,1.5,0.6,1,4.1,0.4,0.8,0
Eric Dier,30,Tottenham,31," D(CR),DMC  ",18(2),1510,0,0.4,54.2,84.9,0.1,2.3,0.1,6.74,3,4,0,0.5,1.8,0,0.1,0.5,0,0.5,0.6,1.3,1.1,1.2,0,2.1,1.4,0.6,0
Vicente Guaita,162,Crystal Palace,38, GK  ,20,1755,0,0,25,42.5,0,6.3,0,6.74,0,2,0,0,0.4,2,0,0.3,0,0,0,0,0,0.1,0,1,0,0,0
